Company Name,Address,Contact Number,Average Ratings,Review
Tgbr,"E. Rodriguez Jr., Avenue Pasig, Pasig City 1604 Metro Manila ",+63(2)85718151,                            0,
The Nomad Offices Philippines,"Level 40 PBCOM Tower,  6795 Ayala Ave cor VA Rufino St., Makati City, Makati City 1226 Metro Manila ",+63(2)87899000,                            0,
The Office Project Ph,"G/F, Alpha Salcedo Condominium,  Bautista Street, Salcedo Village, Makati City 1200 Metro Manila ",+63(2)76255968,                            5.0,It's a great place to hold meetings and seminars. Good aesthetics too.
The Oml Center,"36/F, One Corporate Center,  Julia Vargas Avenue corner Merlaco Avenue, Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)89822276,                            0,
The Orient Square Condominium Association,"F. Ortigas Jr. Road, Ortigas Business District, Pasig City 1605 Metro Manila ",+63(2)86364627,                            0,
"The Penbrothers International, Incorporated","Opl Building, 100 Don C Palanca Jr Street, Makati City, Metro Manila ",+63(2)88933534,                            0,
The Prestige Tower,"F. Ortigas Jr. Road, Ortigas Center, Barangay San Antonio, Pasig City 1605 Metro Manila ",+63(2)86382846,                            0,
The Westpark Leisure Hub,"Magsaysay Avenue, Naga City 4400 Camarines Sur ",+63(054)4783029,                            0,
Time Realty,"Rm. 324, Isabel Building,  F. Cayco & Extramadura Sts, City of Manila 1000 Metro Manila ",+63(2)87403105,                            0,
Tivoli Garden Residences Corporation,"Tivoli Gardens, 69, Coronado Street, Barangay Hulo, Mandaluyong City, Metro Manila ",+63(2)86959778,                            0,
Tonette Realty & Family  Corporation,"3216, Kalayaan Avenue, Makati City, Metro Manila ",+63(2)88819805,                            0,
Tonilyn Construction,"Natl Hwy, Ramon 3319 Isabela ",+63(78)8592087,                            0,
"Top Frontier Investment Holdings, Inc.","5/F Enz0 Bldg. 399 Sen.Gil Puyat Ave. , Brgy Bel-air, Makati City 1200 Metro Manila ",+63(2)86323431,                            0,
Topaz Realty And Development,"147, M Roxas Street, Baguio City, Benguet ",+63(74)4435959,                            0,
Toplite Development Corporation,"2622, P. Ocampo Street, Malate, City of Manila, Metro Manila ",+63(2)82525877,                            0,
Topten Global LK Properties & Consultancy Inc,"906, The Finance Centre BGC Taguig, 26th street corner 9th avenue, Taguig City, Metro Manila ",+63(2)86436228,                            0,
"Topten Global Lk Properties & Consultancy, Incorporated","Aic Grande Tower Condominium, Garnet Road, Pasig City, Metro Manila ",+63(2)86501140,                            0,
Torno Realty,"V Tiomico Street, San Fernando City, Pampanga ",+63(45)9612692,                            0,
Toronto Commercial,"1343 A Mendoza Manila, Brgy 319, City of Manila 1003 Metro Manila ",+63(2)83537377,                            0,
"Torrington Commercial Sales, Incorporated","655, Florentino Torres Street, Sta Cruz, City of Manila, Metro Manila ",+63(2)87336073,                            0,
Total Corporate Network,"Suite W-1903 B 19th Floor West Tower, Philippine Stock Exchange Centre,  Exchange Road, Ortigas Center, San Antonio, Pasig City 1605 Metro Manila ",+63(2)86370450,                            0,
Total Performance Distibution,"North Montilla Boulevard, Butuan City, Agusan Del Norte ",+63(85)8160864,                            0,
Tpa Industrial,"7496 Bagtikan Street, San Antonio Village, Makati City 1200 Metro Manila ",+63(2)88908052,                            0,
Transphil Land  Corporation,"P Ocampo Townhomes, 1218, P Ocampo Sr Street, City of Manila, Metro Manila ",+63(2)85231284,                            0,
"Sm Prime Holdings, Inc","TwoE-Com,  Bayshore Avenue, Mall of Asia Complex, Pasay City, Metro Manila ",+63(2)87794988,                            0,
Un Tourist Arcade,"450 Un Avenue, City of Manila 1000 Metro Manila ",+63(2)85212736,                            0,
Union Bank,"UnionBank Plaza, Meralco Avenue corner Onyx and Sapphire Roads, Ortigas Center, Pasig City 1605  Metro Manila ",+63(02)79146787,                            0,
Universal Tower,"1487 Quezon Universal Tower, Brgy West Triangle, Quezon City 1104 Metro Manila ",+63(2)83739091,                            0,
"Var Buildings, Incorporated","Rufino Var Building, 6784 Ayala Avenue, Makati City, Metro Manila ",+63(2)88101186,                            0,
Var Buildings,"Alcazar Building, City of Manila, Metro Manila ",+63(2)87332733,                            0,
